"Year","Area","CarbonIntensity","id"
"2015","Cyprus","670","CY"
"2015","Czech Republic","495","CZ"
"2015","Denmark","192","DK"
"2015","Estonia","944","EE"
"2015","Finland","103","FI"
"2015","France","54","FR"
"2015","Germany","460","DE"
"2015","Greece","739","EL"
"2015","Hungary","271","HU"
"2015","Ireland","437","IR"
"2015","Italy","283","IT"
"2015","Latvia","141","LV"
"2015","Lithuania","206","LT"
"2015","Luxembourg","141","LU"
"2015","Malta","654","MT"
"2015","Netherlands","514","NL"
"2015","Poland","803","PL"
"2015","Portugal","364","PT"
"2015","Romania","349","RO"
"2015","Slovakia","125","SK"
"2015","Slovenia","256","SI"
"2015","Spain","318","ES"
"2015","Sweden","11","SE"
"2015","United Kingdom","380","UK"
"2016","Austria","98","AT"
"2016","Belgium","172","BE"
"2016","Bulgaria","462","BG"
"2016","Croatia","210","HR"
"2016","Cyprus","679","CY"
"2016","Czech Republic","505","CZ"
"2016","Denmark","231","DK"
"2016","Estonia","924","EE"
"2016","Finland","109","FI"
"2016","France","60","FR"
"2016","Germany","456","DE"
"2016","Greece","622","EL"
"2016","Hungary","261","HU"
"2016","Ireland","429","IR"
"2016","Italy","262","IT"
"2016","Latvia","117","LV"
"2016","Lithuania","154","LT"
"2016","Luxembourg","78","LU"
"2016","Malta","653","MT"
"2016","Netherlands","491","NL"
"2016","Poland","794","PL"
"2016","Portugal","296","PT"
"2016","Romania","309","RO"
"2016","Slovakia","116","SK"
"2016","Slovenia","254","SI"
"2016","Spain","266","ES"
"2016","Sweden","12","SE"
"2016","United Kingdom","294","UK"
"2017","Austria","107","AT"
"2017","Belgium","177","BE"
"2017","Bulgaria","497","BG"
"2017","Croatia","195","HR"
"2017","Cyprus","661","CY"
"2017","Czech Republic","453","CZ"
"2017","Denmark","176","DK"
"2017","Estonia","928","EE"
"2017","Finland","99","FI"
"2017","France","69","FR"
"2017","Germany","424","DE"
"2017","Greece","658","EL"
"2017","Hungary","264","HU"
"2017","Ireland","399","IR"
"2017","Italy","263","IT"
"2017","Latvia","65","LV"
"2017","Lithuania","92","LT"
"2017","Luxembourg","72","LU"
"2017","Malta","435","MT"
"2017","Netherlands","459","NL"
"2017","Poland","784","PL"
"2017","Portugal","353","PT"
"2017","Romania","315","RO"
"2017","Slovakia","119","SK"
"2017","Slovenia","254","SI"
"2017","Spain","305","ES"
"2017","Sweden","13","SE"
"2017","United Kingdom","264","UK"
"2018","Austria","102","AT"
"2018","Belgium","207","BE"
"2018","Bulgaria","425","BG"
"2018","Croatia","135","HR"
"2018","Cyprus","664","CY"
"2018","Czech Republic","445","CZ"
"2018","Denmark","189","DK"
"2018","Estonia","900","EE"
"2018","Finland","111","FI"
"2018","France","54","FR"
"2018","Germany","406","DE"
"2018","Greece","662","EL"
"2018","Hungary","251","HU"
"2018","Ireland","353","IR"
"2018","Italy","248","IT"
"2018","Latvia","138","LV"
"2018","Lithuania","65","LT"
"2018","Luxembourg","69","LU"
"2018","Malta","356","MT"
"2018","Netherlands","441","NL"
"2018","Poland","789","PL"
"2018","Portugal","310","PT"
"2018","Romania","291","RO"
"2018","Slovakia","137","SK"
"2018","Slovenia","248","SI"
"2018","Spain","276","ES"
"2018","Sweden","13","SE"
"2018","United Kingdom","250","UK"
"2019","Austria","99","AT"
"2019","Belgium","184","BE"
"2019","Bulgaria","424","BG"
"2019","Croatia","172","HR"
"2019","Cyprus","660","CY"
"2019","Czech Republic","423","CZ"
"2019","Denmark","122","DK"
"2019","Estonia","783","EE"
"2019","Finland","89","FI"
"2019","France","54","FR"
"2019","Germany","343","DE"
"2019","Greece","603","EL"
"2019","Hungary","226","HU"
"2019","Ireland","313","IR"
"2019","Italy","229","IT"
"2019","Latvia","147","LV"
"2019","Lithuania","68","LT"
"2019","Luxembourg","69","LU"
"2019","Malta","356","MT"
"2019","Netherlands","382","NL"
"2019","Poland","752","PL"
"2019","Portugal","251","PT"
"2019","Romania","271","RO"
"2019","Slovakia","104","SK"
"2019","Slovenia","242","SI"
"2019","Spain","228","ES"
"2019","Sweden","12","SE"
"2019","United Kingdom","228","UK"
"2020","Austria","83","AT"
"2020","Belgium","192","BE"
"2020","Bulgaria","352","BG"
"2020","Croatia","164","HR"
"2020","Cyprus","653","CY"
"2020","Czech Republic","386","CZ"
"2020","Denmark","116","DK"
"2020","Estonia","669","EE"
"2020","Finland","67","FI"
"2020","France","55","FR"
"2020","Germany","301","DE"
"2020","Greece","522","EL"
"2020","Hungary","218","HU"
"2020","Ireland","293","IR"
"2020","Italy","212","IT"
"2020","Latvia","92","LV"
"2020","Lithuania","146","LT"
"2020","Luxembourg","69","LU"
"2020","Malta","356","MT"
"2020","Netherlands","318","NL"
"2020","Poland","724","PL"
"2020","Portugal","201","PT"
"2020","Romania","208","RO"
"2020","Slovakia","90","SK"
"2020","Slovenia","219","SI"
"2020","Spain","190","ES"
"2020","Sweden","13","SE"
"2020","United Kingdom","209","UK"
